Unnamed: 0,title,year,age_group,imdb,rotten_tomato,streaming,title2
6925,On Chesil Beach,2018,18+,6.3,68.0,Amazon,
6926,Britannia,2018,16+,6.7,74.0,Amazon,britannia
6927,White Zombie,1932,,6.3,86.0,Amazon,
6928,A Vigilante,2018,18+,5.7,92.0,Amazon,a vigilante
6929,Party Girl,1995,18+,6.6,78.0,Amazon,
6930,North Dallas Forty,1979,18+,6.9,83.0,Amazon,
6931,Elvis & Nixon,2016,18+,6.4,77.0,Amazon,
6932,City of Hope,1991,18+,7.3,94.0,Amazon,city of hope
6933,The Departure,2017,,6.9,10.0,Amazon,
6934,Kung Fu Jungle,2014,,6.5,75.0,Amazon,
6935,Jellyfish,2007,,7.0,87.0,Amazon,jellyfish
6936,The Hanging Garden,1997,18+,6.8,94.0,Amazon,
6937,The Four Feathers,2002,13+,6.5,41.0,Amazon,the four
6938,Brideshead Revisited,1981,,8.5,,Amazon,brideshead revisited
6939,Spawn,1997,18+,8.1,,Amazon,spawn
6940,Chi-Raq,2015,18+,5.7,82.0,Amazon,chi-raq
6941,The Test: A New Era For Australia's Team,2020,,9.0,,Amazon,the test: a new era for australia's team
6942,"Cinema, Aspirins and Vultures",2005,,7.4,86.0,Amazon,
6943,The Joneses,2010,18+,6.5,63.0,Amazon,
6944,What Will People Say,2017,,7.4,78.0,Amazon,
6945,Night Owls,2015,18+,6.2,10.0,Amazon,
6946,Hondo,1953,7+,7.1,86.0,Amazon,hondo
6947,The Conspirator,2010,13+,6.9,55.0,Amazon,the conspirator
6948,New York Doll,2005,13+,7.7,90.0,Amazon,
6949,The Shout,1978,18+,6.7,86.0,Amazon,
6950,Mommie Dearest,1981,7+,6.7,49.0,Amazon,mommie dearest
6951,Lost Angels: Skid Row Is My Home,2012,,7.5,10.0,Amazon,
6952,Wonderstruck,2017,7+,6.2,68.0,Amazon,wonderstruck
6953,Autoluminescent: Rowland S. Howard,2011,,7.9,10.0,Amazon,
6954,Detectorists,2014,,8.6,,Amazon,detectorists
6955,Puncture,2011,18+,6.8,52.0,Amazon,puncture
6956,Next of Kin,1982,,6.4,10.0,Amazon,next of kin
6957,"Elvira, Mistress of the Dark",1988,13+,6.6,47.0,Amazon,
6958,How the Universe Works,2010,7+,8.9,,Amazon,how the universe works
6959,Crush the Skull,2015,,5.7,10.0,Amazon,
6960,Ray Harryhausen: Special Effects Titan,2011,7+,7.5,92.0,Amazon,ray harryhausen: special effects titan
6961,We Have Always Lived in the Castle,2019,,5.6,86.0,Amazon,
6962,Home for the Holidays,1995,13+,6.6,63.0,Amazon,
6963,The Southerner,1945,,7.1,91.0,Amazon,
6964,American Gigolo,1980,18+,6.3,68.0,Amazon,
6965,Orange County,2002,13+,6.2,46.0,Amazon,
6966,King of the Ants,2003,18+,6.2,10.0,Amazon,
6967,워터댄스,1992,18+,6.7,93.0,Amazon,워터댄스
6968,Cyrano de Bergerac,1950,,7.5,85.0,Amazon,
6969,Fuse,2003,,7.3,80.0,Amazon,fuse
6970,The Age of Stupid,2009,13+,7.0,73.0,Amazon,
6971,Palo Alto,2014,18+,6.2,69.0,Amazon,
6972,The Lady Vanishes,1938,,7.8,,Amazon,the lady vanishes
6973,Toradora!,2008,16+,8.1,,Amazon,toradora!
6974,Hawking,2013,18+,7.3,85.0,Amazon,hawking
6975,Possum,2018,,5.6,90.0,Amazon,possum
6976,Daughters of Darkness,1971,18+,6.6,73.0,Amazon,
6977,Detainment,2018,18+,7.3,83.0,Amazon,detainment
6978,Baseball,1994,16+,9.2,,Amazon,baseball
6979,Is Paris Burning?,1966,7+,6.9,71.0,Amazon,
6980,The Sadist,1963,,6.7,10.0,Amazon,
6981,Master of the Universe,2013,all,7.2,10.0,Amazon,
6982,Birth of the Living Dead,2013,,7.0,96.0,Amazon,
6983,Birds Without Names,2017,,6.5,10.0,Amazon,
6984,Photograph,2019,13+,6.8,79.0,Amazon,photograph
6985,Bad Hair,2013,,7.0,95.0,Amazon,disney bad hair day
6986,Hummingbird,2013,18+,6.2,49.0,Amazon,hummingbird
6987,Hawks and Sparrows,1966,,7.3,77.0,Amazon,
6988,House of 1000 Corpses,2003,18+,6.1,20.0,Amazon,house of 1000 corpses
6989,The Story of Luke,2013,,7.2,83.0,Amazon,
6990,Always Shine,2016,,5.6,92.0,Amazon,
6991,"Cairo 6,7,8",2010,,7.5,80.0,Amazon,
6992,StreetDance 3D,2010,13+,5.9,76.0,Amazon,
6993,The Wall,2017,18+,6.2,65.0,Amazon,lu over the wall
6994,A Quiet Passion,2016,13+,6.4,91.0,Amazon,
6995,Forged in Fire,2015,7+,8.4,,Amazon,
6996,American Experience,1988,7+,8.5,,Amazon,american experience
6997,Pantani: The Accidental Death of a Cyclist,2014,7+,7.0,84.0,Amazon,
6998,Nina Forever,2015,18+,5.6,97.0,Amazon,
6999,Afghan Star,2009,,7.3,10.0,Amazon,
7000,Life Itself,2018,18+,6.8,14.0,Amazon,life itself
7001,47 Meters Down: Uncaged,2019,13+,5.0,44.0,Amazon,47 meters down: uncaged
7002,A Bucket of Blood,1959,,6.7,77.0,Amazon,
7003,Society,1989,18+,6.5,55.0,Amazon,society
7004,Something from Nothing: The Art of Rap,2012,18+,7.2,86.0,Amazon,
7005,Touched with Fire,2016,18+,6.2,68.0,Amazon,
7006,Les Misérables,2019,18+,7.6,,Amazon,les misérables
7007,Airplane II: The Sequel,1982,7+,6.2,42.0,Amazon,
7008,As If I Am Not There,2010,,7.2,85.0,Amazon,i am
7009,The Story of Louis Pasteur,1936,,7.3,10.0,Amazon,
7010,Twins of Evil,1971,18+,6.6,79.0,Amazon,
7011,Biggie and Tupac,2002,18+,6.8,79.0,Amazon,
7012,Destination Wedding,2018,18+,6.0,52.0,Amazon,destination wedding
7013,The Marriage Circle,1924,,7.2,10.0,Amazon,
7014,Darker than Black,2007,16+,7.7,,Amazon,
7015,The Kettering Incident,2016,18+,6.9,67.0,Amazon,the kettering incident
7016,Upside Down: The Creation Records Story,2010,18+,7.2,10.0,Amazon,
7017,Tell Me You Love Me,2007,18+,7.3,62.0,Amazon,love me
7018,The Mule,2014,,6.3,87.0,Amazon,
7019,Nicholas and Alexandra,1971,7+,7.2,67.0,Amazon,nicholas and alexandra
7020,My Awkward Sexual Adventure,2012,18+,6.1,71.0,Amazon,
7021,Stigmata,1999,18+,6.2,22.0,Amazon,stigmata
7022,The Clowns,1970,all,7.1,10.0,Amazon,
7023,Robin of Sherwood,1984,,8.5,,Amazon,robin of sherwood
7024,Big Sonia,2017,,7.4,94.0,Amazon,
7025,House,1985,18+,6.2,62.0,Amazon,house
7026,Prodigy,2017,18+,6.0,73.0,Amazon,prodigy
7027,The President,2014,,7.3,84.0,Amazon,"nisman: the prosecutor, the president, and the spy"
7028,Trumbo,2007,13+,7.4,83.0,Amazon,trumbo
7029,The Private Lives of Pippa Lee,2009,18+,6.4,69.0,Amazon,the private lives of pippa lee
7030,Two Night Stand,2014,18+,6.4,38.0,Amazon,cheuk wan-chi: two night stand
7031,Beauty Mark,2017,,6.5,10.0,Amazon,
7032,Escape from L.A.,1996,18+,5.8,54.0,Amazon,john carpenter's escape from l.a.
7033,In Plain Sight,2008,16+,7.3,,Amazon,abducted in plain sight
7034,Jean-Claude Van Johnson,2016,18+,7.6,64.0,Amazon,jean-claude van johnson
7035,Crown Heights,2017,18+,6.4,77.0,Amazon,crown heights (4k uhd)
7036,Angels Wear White,2017,16+,7.2,94.0,Amazon,
7037,A Very Sordid Wedding,2017,18+,5.3,86.0,Amazon,
7038,Nuts!,2016,,7.1,94.0,Amazon,nuts!
7039,Funeral in Berlin,1966,,6.9,67.0,Amazon,
7040,Klondike,2014,16+,7.4,80.0,Amazon,klondike
7041,Love Affair,1939,,7.3,86.0,Amazon,the love affair
7042,Mike Birbiglia: My Girlfriend's Boyfriend,2013,,8.0,10.0,Amazon,my girlfriend
7043,Dark Blue,2002,18+,6.6,59.0,Amazon,
7044,Mission: Impossible,1966,7+,7.6,,Amazon,mission: impossible - fallout
7045,Eden,2014,18+,6.4,82.0,Amazon,eden
7046,The 36th Chamber of Shaolin,1978,18+,7.7,,Amazon,
7047,Sense and Sensibility,2008,16+,8.0,,Amazon,sense and sensibility (1981)
7048,Arthur,1996,7+,7.3,,Amazon,arthur
7049,King Corn,2007,all,7.0,96.0,Amazon,
7050,Honey,2013,,6.8,10.0,Amazon,honey
7051,The Canal,2014,,5.9,71.0,Amazon,
7052,The Time Machine,2002,13+,6.0,29.0,Amazon,the time machine
7053,The Pope's Toilet,2007,,7.3,88.0,Amazon,
7054,Lady Jane,1986,13+,7.1,56.0,Amazon,
7055,Tumhari Sulu,2017,,7.0,83.0,Amazon,
7056,Three Came Home,1950,,7.3,10.0,Amazon,
7057,King Lear,2018,16+,6.1,91.0,Amazon,king lear
7058,Return to Homs,2013,13+,7.7,93.0,Amazon,
7059,Lovesong,2017,,6.3,83.0,Amazon,lovesong
7060,Comic-Con Episode IV: A Fan's Hope,2011,13+,7.0,82.0,Amazon,
7061,A Man Called Horse,1970,18+,6.9,86.0,Amazon,
7062,Paul Williams Still Alive,2011,13+,6.9,97.0,Amazon,
7063,The Light of the Moon,2017,,6.3,97.0,Amazon,
7064,Unmistaken Child,2009,7+,7.5,81.0,Amazon,
7065,Robin Hood,1922,7+,7.2,10.0,Amazon,robin hood
7066,The Reports on Sarah and Saleem,2018,,7.3,97.0,Amazon,the report
7067,Power Rangers,1993,7+,6.4,73.0,Amazon,mighty morphin power rangers
7068,We Live in Public,2009,,7.2,82.0,Amazon,
7069,The Kill Team,2013,18+,7.0,90.0,Amazon,
7070,The ABC Murders,2018,16+,6.6,72.0,Amazon,agatha christie's the abc murders
7071,Kill Command,2016,,5.7,75.0,Amazon,
7072,"Yours, Mine and Ours",1968,,7.2,50.0,Amazon,"yours, mine and ours"
7073,Cold Feet,1998,7+,8.2,82.0,Amazon,cold feet
7074,The Matchmaker,2010,,7.3,88.0,Amazon,love dating culture with christy the matchmaker
