title,Genres,original,type,streaming,runtime,action,sports,thrillers_horror,comedy,romantic,drama,others,misc,travel_life,spiritual,documentary_edu,music,military_political,kids,anime,mystery,popular,game,fantasy,regional,country,title2
Against the Tide,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'singaporean', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,singaporean,against the tide
Age of Glory,"['tv', 'dramas', 'romantic', 'tv', 'dramas', 'malaysian', 'tv', 'shows']",False,TV,Netflix,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,malaysian,age of glory
Age of Rebellion,"['tv', 'dramas', 'crime', 'tv', 'dramas', 'teen', 'tv', 'shows', 'chinese', 'tv', 'shows', 'taiwanese', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,"taiwanese', 'chinese",age of rebellion
Age of Tanks,"['science', '&', 'nature', 'docs', 'military', 'documentaries', 'historical', 'documentaries', 'docuseries', 'science', '&', 'nature', 'tv', 'french', 'tv', 'shows']",False,TV,Netflix,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,french,age of tanks
Agent,"['tv', 'dramas']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,,,agent
Agent Raghav,"['tv', 'action', '&', 'adventure', 'tv', 'dramas', 'crime', 'tv', 'dramas', 'indian', 'tv', 'shows', 'hindi-language', 'tv', 'shows', 'tv', 'thrillers']",False,TV,Netflix,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,"hindi-language', 'indian",agent raghav
Aggretsuko,"['anime', 'series', 'anime', 'comedy', 'anime', 'adult', 'animation', 'japanese', 'tv', 'shows']",True,TV,Netflix,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,japanese,aggretsuko
Ainori Love Wagon: African Journey,"['reality', 'tv', 'shows', 'wedding', '&', 'romance', 'reality', 'tv', 'japanese', 'tv', 'shows', 'food', '&', 'travel', 'tv', 'lifestyle']",True,TV,Netflix,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,japanese,ainori love wagon: african journey
Ainori Love Wagon: Asian Journey,"['reality', 'tv', 'shows', 'wedding', '&', 'romance', 'reality', 'tv', 'japanese', 'tv', 'shows', 'food', '&', 'travel', 'tv', 'lifestyle']",True,TV,Netflix,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,japanese,ainori love wagon: asian journey
Ajaibnya Cinta,"['tv', 'dramas', 'malaysian', 'tv', 'shows']",False,TV,Netflix,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,malaysian,ajaibnya cinta
